DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD,RESM,SP
M,IN,IN,G/C3,G/C3,US/F,GAPI,V/V,OHMM,OHMM,MV
0.0,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1524,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3048,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4572,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.6096,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.762,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9144,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0668,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.2192,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.3716,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.524,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.6764,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.8288,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.9812,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.1336,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.286,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.4384,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.5908,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.7432,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.8956,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.048,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.2004,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.3528,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5052,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.6576,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.81,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.9624,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.1148,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.2672,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.4196,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.572,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.7244,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.8768,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0292,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.1816,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.334,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.4864,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.6388,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.7912,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.9436,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.096,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.2484,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.4008,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5532,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.7056,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.858,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.0104,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.1628,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.3152,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.4676,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.62,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.7724,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.9248,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0772,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.2296,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.382,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.5344,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.6868,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.8392,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.9916,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.144,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.2964,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.4488,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.6012,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.7536,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.906,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0584,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.2108,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.3632,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5156,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.668,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.8204,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.9728,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.1252,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.2776,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.43,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.5824,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.7348,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.8872,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.0396,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.192,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.3444,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.4968,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.6492,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.8016,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.954,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.1064,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.2588,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.4112,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.5636,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
